Unnamed: 0,Station 0,Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9
Slot 0,5.6,50.9,16.9,21.0,16.9,17.9,48.6,17.9,24.5,1.1
Slot 1,5.6,50.9,16.3,21.0,16.8,17.9,48.6,17.9,24.5,1.1
Slot 2,5.6,50.9,15.7,21.0,16.7,17.9,48.6,17.9,24.4,1.1
Slot 3,5.6,50.9,15.7,21.0,16.7,17.9,48.6,17.9,24.4,1.1
Slot 4,5.6,50.9,15.7,21.0,16.7,17.9,48.6,17.8,24.4,1.1
Slot 5,5.5,50.9,15.7,21.0,16.7,17.9,48.6,17.8,24.4,1.1
Slot 6,5.5,50.9,15.7,21.0,16.7,17.9,48.6,17.8,24.3,1.1
Slot 7,5.5,50.9,15.7,21.0,16.6,17.9,48.6,17.8,24.3,1.1
Slot 8,5.5,50.9,15.7,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 9,5.5,50.9,15.7,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 10,5.5,50.9,15.7,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 11,5.5,50.9,15.7,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 12,5.5,50.9,15.7,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 13,5.5,50.9,15.6,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 14,5.4,50.9,15.6,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 15,5.3,50.9,15.5,21.0,16.6,17.8,48.6,17.8,24.3,1.1
Slot 16,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 17,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 18,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 19,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 20,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 21,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.3,1.1
Slot 22,5.2,50.9,15.5,21.0,16.6,17.8,48.5,17.8,24.1,1.1
Slot 23,5.2,50.9,15.5,21.0,16.6,17.8,48.3,17.8,24.1,1.1
Slot 24,5.2,50.9,15.5,20.9,16.6,17.8,48.2,17.8,24.1,1.1
Slot 25,5.2,50.9,15.5,20.9,16.6,17.8,47.6,17.7,24.1,1.1
Slot 26,5.1,50.9,15.5,20.8,16.6,17.8,47.6,17.6,24.1,1.1
Slot 27,5.1,50.9,15.4,20.8,16.5,17.7,47.5,17.6,24.0,1.1
Slot 28,5.1,50.6,15.4,20.6,16.5,17.6,47.1,17.2,24.0,1.1
Slot 29,4.7,50.6,15.4,20.5,16.5,17.4,46.3,17.2,24.0,1.1
Slot 30,4.6,50.4,15.4,20.4,16.5,17.3,45.7,17.1,24.0,1.1
Slot 31,4.6,49.5,15.3,19.9,16.4,17.0,45.3,17.0,24.0,1.1
Slot 32,4.4,48.7,15.1,19.4,16.1,16.4,44.4,17.0,23.8,1.0
Slot 33,4.2,47.1,14.9,19.0,15.6,16.2,42.1,17.0,22.8,0.9
Slot 34,4.1,42.3,14.3,17.8,14.7,15.4,34.0,16.0,22.7,0.8
Slot 35,3.9,36.9,14.3,16.2,12.1,14.4,28.7,14.5,22.1,0.8
Slot 36,3.2,28.8,14.2,15.5,9.9,12.6,25.2,12.6,21.3,0.7
Slot 37,3.2,27.2,14.2,15.4,9.0,11.9,23.3,11.4,21.2,0.7
Slot 38,3.2,24.6,14.0,15.3,8.7,11.4,22.2,10.6,20.9,0.7
Slot 39,3.2,23.4,13.9,15.1,8.4,11.1,21.4,9.9,20.7,0.7
Slot 40,3.1,22.7,13.6,15.0,7.9,11.0,20.7,9.6,20.6,0.7
Slot 41,3.1,22.5,13.3,14.8,7.8,10.9,20.5,9.3,20.5,0.7
Slot 42,3.1,22.2,13.2,14.8,7.8,10.8,20.1,9.3,20.4,0.7
Slot 43,3.1,21.6,13.2,14.7,7.7,10.8,19.9,9.0,20.3,0.6
Slot 44,3.1,21.1,13.0,14.6,7.6,10.6,19.7,8.6,19.8,0.6
Slot 45,3.1,20.8,12.9,14.2,7.5,10.5,19.2,8.6,19.0,0.6
Slot 46,3.1,20.4,12.7,14.1,7.5,10.1,18.8,8.5,18.6,0.6
Slot 47,3.1,19.8,12.3,13.8,7.0,10.0,18.5,8.4,18.5,0.6
Slot 48,3.1,19.2,11.9,13.8,6.7,10.0,18.1,8.1,18.4,0.6
Slot 49,3.1,18.3,11.3,13.0,6.7,9.8,18.0,7.4,18.0,0.6
Slot 50,3.0,18.2,11.3,12.6,6.6,9.7,17.7,7.4,17.9,0.6
Slot 51,2.9,18.1,11.3,12.4,6.6,9.5,17.5,7.4,17.9,0.6
Slot 52,2.8,17.7,11.1,12.3,6.4,9.4,17.2,7.4,17.6,0.6
Slot 53,2.6,17.5,11.1,12.1,6.3,9.0,17.0,7.3,17.2,0.6
Slot 54,2.2,17.1,11.0,12.1,6.2,8.9,15.5,7.3,16.7,0.5
Slot 55,2.1,16.7,10.7,12.0,6.0,8.7,14.6,7.1,15.8,0.5
Slot 56,1.8,16.0,10.7,11.9,5.8,8.5,10.7,7.1,15.6,0.5
Slot 57,1.7,15.0,10.5,11.8,5.7,8.3,10.3,6.9,15.3,0.5
Slot 58,1.6,14.5,10.1,11.7,5.4,8.2,9.7,6.5,15.2,0.5
Slot 59,1.5,14.3,9.9,11.6,5.1,8.1,9.3,5.9,14.7,0.4
Slot 60,1.5,14.0,9.9,11.4,4.9,8.1,8.7,5.9,14.3,0.4
Slot 61,1.5,13.3,9.7,11.1,4.8,8.1,8.2,5.9,14.2,0.3
Slot 62,1.5,12.8,9.5,11.0,4.6,8.1,8.0,5.8,14.1,0.3
Slot 63,1.5,12.6,9.4,10.8,4.5,7.8,7.9,5.7,14.1,0.3
Slot 64,1.5,12.3,9.2,10.7,4.2,7.8,7.7,5.6,13.6,0.3
Slot 65,1.5,12.0,8.9,10.6,4.1,7.7,7.4,5.5,13.3,0.3
Slot 66,1.5,11.7,8.8,9.9,3.9,7.4,7.0,5.3,12.8,0.3
Slot 67,1.5,11.4,8.6,9.7,3.7,6.7,6.7,5.0,12.7,0.3
Slot 68,1.5,11.3,8.5,9.6,3.7,6.7,6.5,4.9,12.4,0.3
Slot 69,1.5,10.9,8.4,9.1,3.4,6.6,6.1,4.6,12.1,0.3
Slot 70,1.4,10.8,7.7,8.8,3.1,6.6,5.9,4.2,12.0,0.3
Slot 71,1.3,10.4,6.9,8.2,3.1,6.3,5.7,3.5,11.2,0.3
Slot 72,1.3,10.1,6.4,8.0,3.1,6.3,5.7,3.3,10.5,0.3
Slot 73,1.3,9.0,4.7,5.3,3.0,5.4,5.2,2.8,8.0,0.3
Slot 74,1.3,7.7,3.7,4.4,2.8,4.8,4.3,2.1,6.5,0.3
Slot 75,1.2,6.9,3.6,3.9,2.1,3.8,4.1,1.6,4.8,0.3
Slot 76,1.1,6.3,2.7,3.4,1.6,3.5,3.4,1.4,4.3,0.3
Slot 77,0.9,5.2,2.4,2.7,1.4,3.3,3.1,1.0,3.7,0.3
Slot 78,0.8,5.1,2.4,2.2,1.2,3.0,2.9,1.0,3.7,0.2
Slot 79,0.8,4.8,2.2,1.9,0.9,2.7,2.7,0.8,3.4,0.1
Slot 80,0.7,4.1,1.9,1.8,0.8,2.4,2.5,0.8,2.9,0.0
Slot 81,0.6,3.7,1.8,1.3,0.6,2.0,2.0,0.8,2.8,0.0
Slot 82,0.5,3.3,1.6,1.2,0.6,1.6,1.7,0.7,2.4,0.0
Slot 83,0.4,2.8,1.3,1.0,0.5,1.3,1.4,0.5,2.1,0.0
Slot 84,0.3,2.6,1.2,1.0,0.5,1.1,1.2,0.3,1.8,0.0
